n_pontos,n_centroids,resources,tempo,tempo_silhouette_s,tempo_total,implementation,resource_type,speedup
10000,4,1,0.4,0.1045,0.5045000000000001,MPI,processos,0.7928642220019821
10000,4,2,0.4,0.0556,0.4556,MPI,processos,0.877963125548727
10000,4,4,0.1,0.0269,0.1269,MPI,processos,3.152088258471237
10000,4,8,0.2,0.0297,0.22970000000000002,MPI,processos,1.74140182847192
10000,4,16,0.3,0.0179,0.31789999999999996,MPI,processos,1.2582573136206356
10000,4,32,0.5,0.0213,0.5213,MPI,processos,0.7673124880107425
100000,8,1,1.4,16.8051,18.205099999999998,MPI,processos,0.076901527593916
100000,8,2,0.7,8.3425,9.042499999999999,MPI,processos,0.15482444014376556
100000,8,4,0.4,4.1911,4.5911,MPI,processos,0.30493781446712115
100000,8,8,0.3,2.1245,2.4244999999999997,MPI,processos,0.577438647143741
100000,8,16,0.2,2.605,2.805,MPI,processos,0.499108734402852
100000,8,32,0.6,1.6821,2.2821,MPI,processos,0.6134700495157969
1000000,16,1,22.700000000000003,3132.359,3155.0589999999997,MPI,processos,0.007194794138556523
1000000,16,2,11.6,1601.0024,1612.6024,MPI,processos,0.014076625459567716
1000000,16,4,5.7,811.3318,817.0318000000001,MPI,processos,0.027783496309445974
1000000,16,8,3.4,453.8107,457.2107,MPI,processos,0.04964888179563603
1000000,16,16,2.4,687.0907,689.4907,MPI,processos,0.032922851606265326
1000000,16,32,2.6,840.1551,842.7551,MPI,processos,0.02693546440715696
10000,4,128,8.4,,,CUDA,block_size,11.345238095238097
10000,4,256,7.5,,,CUDA,block_size,12.706666666666669
10000,4,512,7.5,,,CUDA,block_size,12.706666666666669
100000,8,128,1319.6,,,CUDA,block_size,12.51333737496211
100000,8,256,1333.2,,,CUDA,block_size,12.385688568856883
100000,8,512,1298.5,,,CUDA,block_size,12.71667308432807
1000000,16,128,253719.6,,,CUDA,block_size,11.647597584104656
1000000,16,256,253466.8,,,CUDA,block_size,11.65921454012912
1000000,16,512,256464.2,,,CUDA,block_size,11.522948622068888
10000,4,1,95.3,,,CUDA,block_size,1.0
100000,8,1,16512.6,,,CUDA,block_size,1.0
1000000,16,1,2955223.8,,,CUDA,block_size,1.0
10000,4,32,11.7,,,CUDA,block_size,8.145299145299145
100000,8,32,1355.1,,,CUDA,block_size,12.185521363736994
1000000,16,32,275368.1,,,CUDA,block_size,10.731903223358117
10000,4,1,95.3,,,OpenMP,threads,1.0
10000,4,1,99.9,,,OpenMP,threads,0.953953953953954
10000,4,2,52.9,,,OpenMP,threads,1.8015122873345937
10000,4,4,24.9,,,OpenMP,threads,3.8273092369477912
10000,4,8,28.1,,,OpenMP,threads,3.391459074733096
10000,4,16,15.4,,,OpenMP,threads,6.188311688311688
10000,4,32,11.7,,,OpenMP,threads,8.145299145299145
100000,8,1,16512.6,,,OpenMP,threads,1.0
100000,8,1,16410.3,,,OpenMP,threads,1.0062338896912304
100000,8,2,8348.8,,,OpenMP,threads,1.977841126868532
100000,8,4,4171.7,,,OpenMP,threads,3.9582424431287
100000,8,8,2115.3,,,OpenMP,threads,7.806268614380937
100000,8,16,1715.4,,,OpenMP,threads,9.626093039524308
100000,8,32,1355.1,,,OpenMP,threads,12.185521363736994
1000000,16,1,2955223.8,,,OpenMP,threads,1.0
1000000,16,1,3023151.2,,,OpenMP,threads,0.977530928654842
1000000,16,2,1548262.3,,,OpenMP,threads,1.908735877635204
1000000,16,4,771009.8,,,OpenMP,threads,3.832926377848893
1000000,16,8,407779.6,,,OpenMP,threads,7.247110448879738
1000000,16,16,373915.5,,,OpenMP,threads,7.903453587775847
1000000,16,32,275368.1,,,OpenMP,threads,10.731903223358117
