N,Tech,Config,Time_ms,SSE,Silhouette,Speedup
10000,Serial,1,0.4,1347106.704014,0.669,1.0
10000,OpenMP,1,0.4,1347106.704014,0.669,1.0
10000,OpenMP,2,0.3,1347106.704014,0.669,1.3333333333333335
10000,OpenMP,4,0.5,1347106.704014,0.669,0.8
10000,OpenMP,8,0.6,1347106.704014,0.669,0.6666666666666667
10000,OpenMP,16,0.8,1347106.704014,0.669,0.5
10000,OpenMP,32,1.2,1347106.704014,0.669,0.33333333333333337
10000,OpenMP,64,1.9,1347106.704014,0.669,0.2105263157894737
10000,MPI,1,1.25,1347106.704014,0.669,0.32
10000,MPI,2,0.8006,1347106.704014,0.669,0.4996252810392206
10000,MPI,4,0.1263,1347106.704014,0.669,3.167062549485353
10000,MPI,8,0.5238,1347106.704014,0.669,0.7636502481863306
10000,MPI,16,2.8228,1347106.704014,0.669,0.1417032733456143
10000,MPI,32,1.793,1347106.704014,0.669,0.2230897936419409
10000,MPI,64,5.2449,1347106.704014,0.669,0.07626456176476196
10000,CUDA,64,4.4,1347106.704014,0.66919,0.09090909090909091
10000,CUDA,128,1.0,1347106.704014,0.66919,0.4
10000,CUDA,256,0.8,1347106.704014,0.66919,0.5
10000,CUDA,512,0.7,1347106.704014,0.66919,0.5714285714285715
10000,CUDA,1024,0.7,1347106.704014,0.66919,0.5714285714285715
100000,Serial,1,9.6,43979309.268086,0.6,1.0
100000,OpenMP,1,5.2,43979309.268086,0.6,1.846153846153846
100000,OpenMP,2,4.3,43979309.268086,0.6,2.2325581395348837
100000,OpenMP,4,2.8,43979309.268087,0.6,3.428571428571429
100000,OpenMP,8,1.7,43979309.268087,0.6,5.647058823529412
100000,OpenMP,16,1.8,43979309.268086,0.6,5.333333333333333
100000,OpenMP,32,2.3,43979309.268087,0.6,4.173913043478261
100000,OpenMP,64,3.0,43979309.268087,0.6,3.1999999999999997
100000,MPI,1,5.4136,43979309.268086,0.6,1.7733116595241614
100000,MPI,2,2.8393,43979309.268086,0.6,3.381115063572007
100000,MPI,4,1.4868,43979309.268087,0.6,6.45682001614205
100000,MPI,8,1.1161,43979309.268087,0.6,8.601379804676998
100000,MPI,16,0.796,43979309.268086,0.6,12.060301507537687
100000,MPI,32,1.2909,43979309.268087,0.6,7.436672089240065
100000,MPI,64,2.9382,43979309.268087,0.6,3.2673065141923625
100000,CUDA,64,5.0,43979309.268086,0.60028,1.92
100000,CUDA,128,5.4,43979309.268086,0.60028,1.7777777777777777
100000,CUDA,256,5.8,43979309.268086,0.60028,1.6551724137931034
100000,CUDA,512,5.2,43979309.268086,0.60028,1.846153846153846
100000,CUDA,1024,5.1,43979309.268086,0.60028,1.8823529411764706
1000000,Serial,1,288.0,1238641281.008392,0.586,1.0
1000000,OpenMP,1,289.0,1238641281.008392,0.586,0.9965397923875432
1000000,OpenMP,2,156.6,1238641281.008402,0.586,1.839080459770115
1000000,OpenMP,4,79.8,1238641281.008427,0.586,3.6090225563909777
1000000,OpenMP,8,55.1,1238641281.008409,0.586,5.226860254083484
1000000,OpenMP,16,39.7,1238641281.008405,0.586,7.2544080604534
1000000,OpenMP,32,30.3,1238641281.008404,0.586,9.504950495049505
1000000,OpenMP,64,35.9,1238641281.008404,0.586,8.022284122562674
1000000,MPI,1,292.5193,1238641281.008392,0.586,0.9845504211175127
1000000,MPI,2,153.2228,1238641281.008402,0.586,1.8796158274094976
1000000,MPI,4,77.864,1238641281.008427,0.586,3.6987568067399565
1000000,MPI,8,44.9852,1238641281.008409,0.586,6.402105581391213
1000000,MPI,16,31.3533,1238641281.008405,0.586,9.18563596176479
1000000,MPI,32,88.7795,1238641281.008404,0.586,3.2439921378246104
1000000,MPI,64,54.7587,1238641281.008404,0.586,5.259438226254458
1000000,CUDA,64,125.7,1238641281.008392,0.586,2.2911694510739857
1000000,CUDA,128,125.3,1238641281.008392,0.586,2.298483639265762
1000000,CUDA,256,125.5,1238641281.008392,0.586,2.2948207171314743
1000000,CUDA,512,125.8,1238641281.008392,0.586,2.289348171701113
1000000,CUDA,1024,125.9,1238641281.008392,0.586,2.2875297855440824
