N,Tech,Config,Time_ms
10000,Serial,1,0.4
10000,OpenMP,1,0.4
10000,OpenMP,2,0.3
10000,OpenMP,4,0.5
10000,OpenMP,8,0.6
10000,OpenMP,16,0.8
10000,OpenMP,32,1.2
10000,OpenMP,64,1.9
10000,MPI,1,1.25
10000,MPI,2,0.8006
10000,MPI,4,0.1263
10000,MPI,8,0.5238
10000,MPI,16,2.8228
10000,MPI,32,1.793
10000,MPI,64,5.2449
100000,Serial,1,9.6
100000,OpenMP,1,5.2
100000,OpenMP,2,4.3
100000,OpenMP,4,2.8
100000,OpenMP,8,1.7
100000,OpenMP,16,1.8
100000,OpenMP,32,2.3
100000,OpenMP,64,3.0
100000,MPI,1,5.4136
100000,MPI,2,2.8393
100000,MPI,4,1.4868
100000,MPI,8,1.1161
100000,MPI,16,0.796
100000,MPI,32,1.2909
100000,MPI,64,2.9382
1000000,Serial,1,288.0
1000000,OpenMP,1,289.0
1000000,OpenMP,2,156.6
1000000,OpenMP,4,79.8
1000000,OpenMP,8,55.1
1000000,OpenMP,16,39.7
1000000,OpenMP,32,30.3
1000000,OpenMP,64,35.9
1000000,MPI,1,292.5193
1000000,MPI,2,153.2228
1000000,MPI,4,77.864
1000000,MPI,8,44.9852
1000000,MPI,16,31.3533
1000000,MPI,32,88.7795
1000000,MPI,64,54.7587
