n_pontos, n_centroids, iteracoes, tempo, serial_omp, n_threads
10000, 4, 3, 95.3, True, 1
10000, 4, 3, 24.9, False, 4
10000, 4, 3, 28.1, False, 8
10000, 4, 3, 15.4, False, 16
10000, 4, 3, 11.7, False, 32
100000, 8, 3, 16512.6, True, 1
100000, 8, 3, 4171.7, False, 4
100000, 8, 3, 2115.3, False, 8
100000, 8, 3, 1715.4, False, 16
100000, 8, 3, 1355.1, False, 32
1000000, 16, 3, 2955223.8, True, 1
1000000, 16, 3, 771009.8, False, 4
1000000, 16, 3, 407779.6, False, 8
1000000, 16, 3, 373915.5, False, 16
1000000, 16, 3, 275368.1, False, 32
