n_pontos,n_centroids,iteracoes,tempo,serial_cuda,block_size,speedup
10000,4,3,8.4,0,128,11.345238095238095
10000,4,3,7.5,0,256,12.706666666666667
10000,4,3,7.5,0,512,12.706666666666667
100000,8,3,1319.6,0,128,12.51333737496211
100000,8,3,1333.2,0,256,12.385688568856883
100000,8,3,1298.5,0,512,12.71667308432807
1000000,16,3,253719.6,0,128,11.647597584104656
1000000,16,3,253466.8,0,256,11.65921454012912
1000000,16,3,256464.2,0,512,11.522948622068888
10000,4,3,95.3,1,1,1.0
100000,8,3,16512.6,1,1,1.0
1000000,16,3,2955223.8,1,1,1.0
10000,4,3,11.7,2,32,8.145299145299145
100000,8,3,1355.1,0,32,12.185521363736994
1000000,16,3,275368.1,0,32,10.731903223358117
