n_pontos,n_centroids,iteracoes,tempo,serial_omp,n_threads,speedup
10000,4,3,95.3, True,1,1.0
10000,4,3,24.9, False,4,3.8273092369477912
10000,4,3,28.1, False,8,3.391459074733096
10000,4,3,15.4, False,16,6.188311688311688
10000,4,3,11.7, False,32,8.145299145299145
100000,8,3,16512.6, True,1,1.0
100000,8,3,4171.7, False,4,3.9582424431287
100000,8,3,2115.3, False,8,7.806268614380937
100000,8,3,1715.4, False,16,9.626093039524308
100000,8,3,1355.1, False,32,12.185521363736994
1000000,16,3,2955223.8, True,1,1.0
1000000,16,3,771009.8, False,4,3.832926377848893
1000000,16,3,407779.6, False,8,7.247110448879738
1000000,16,3,373915.5, False,16,7.903453587775847
1000000,16,3,275368.1, False,32,10.731903223358117
